taken_at,horse_id,value,unit
2026-01-01T07:30:00Z,1,480.1,kg
2026-01-01T07:30:00Z,3,496.6,kg
2026-01-01T07:30:00Z,4,502.4,kg
2026-01-01T07:30:00Z,5,502.9,kg
2026-01-01T07:30:00Z,6,506.3,kg
2026-01-01T07:30:00Z,7,514.3,kg
2026-01-01T07:30:00Z,9,522.5,kg
2026-01-01T07:30:00Z,10,525.3,kg
2026-01-02T07:30:00Z,1,470.9,kg
2026-01-02T07:30:00Z,3,493.2,kg
2026-01-02T07:30:00Z,4,,kg
2026-01-02T07:30:00Z,5,500.4,kg
2026-01-02T07:30:00Z,6,503.0,kg
2026-01-02T07:30:00Z,7,504.3,kg
2026-01-02T07:30:00Z,9,514.8,kg
2026-01-02T07:30:00Z,10,522.7,kg
2026-01-03T07:30:00Z,1,487.2,kg
2026-01-03T07:30:00Z,2,496.1,kg
2026-01-03T07:30:00Z,3,488.3,kg
2026-01-03T07:30:00Z,4,504.9,kg
2026-01-03T07:30:00Z,5,497.3,kg
2026-01-03T07:30:00Z,6,505.0,kg
2026-01-03T07:30:00Z,7,497.1,kg
2026-01-03T07:30:00Z,9,522.0,kg
2026-01-03T07:30:00Z,10,512.5,kg
2026-01-04T07:30:00Z,1,491.0,KG
2026-01-04T07:30:00Z,2,496.0,kg
2026-01-04T07:30:00Z,3,496.9,kg
2026-01-04T07:30:00Z,4,491.0,kg
2026-01-04T07:30:00Z,5,501.8,kg
2026-01-04T07:30:00Z,6,500.9,kg
2026-01-04T07:30:00Z,7,504.7,kg
2026-01-04T07:30:00Z,9,511.2,kg
2026-01-04T07:30:00Z,10,524.7,kg
2026-01-05T07:30:00Z,1,484.7,kg
2026-01-05T07:30:00Z,2,490.0,kg
2026-01-05T07:30:00Z,3,484.4,kg
2026-01-05T07:30:00Z,5,512.8,kg
2026-01-05T07:30:00Z,6,508.5,kg
2026-01-05T07:30:00Z,7,505.7,kg
2026-01-05T07:30:00Z,9,9999.0,kg
2026-01-05T07:30:00Z,10,506.4,kg
2026-01-06T07:30:00Z,1,491.4,kg
2026-01-06T07:30:00Z,2,493.9,kg
2026-01-06T07:30:00Z,3,495.3,kg
2026-01-06T07:30:00Z,4,483.1,kg
2026-01-06T07:30:00Z,5,499.2,kg
2026-01-06T07:30:00Z,6,504.0,kg
2026-01-06T07:30:00Z,7,506.8,kg
2026-01-06T07:30:00Z,9,512.8,kg
2026-01-06T07:30:00Z,10,509.8,kg
2026-01-07T07:30:00Z,1,486.6,kg
2026-01-07T07:30:00Z,2,485.2,kg
2026-01-07T07:30:00Z,3,494.2,kg
2026-01-07T07:30:00Z,4,488.5,kg
01/03/2026 07:30,5,500.9,kg
2026-01-07T07:30:00Z,6,505.8,kg
2026-01-07T07:30:00Z,7,509.4,kg
2026-01-07T07:30:00Z,9,500.2,kg
2026-01-07T07:30:00Z,10,528.5,kg
2026-01-08T07:30:00Z,1,488.5,kg
2026-01-08T07:30:00Z,2,492.9,kg
2026-01-08T07:30:00Z,3,482.0,kg
2026-01-08T07:30:00Z,4,493.5,kg
2026-01-08T07:30:00Z,5,498.7,kg
2026-01-08T07:30:00Z,6,508.7,kg
2026-01-08T07:30:00Z,7,507.6,kg
2026-01-08T07:30:00Z,9,522.4,kg
2026-01-08T07:30:00Z,10,517.4,kg
2026-01-09T07:30:00Z,1,496.8,kg
2026-01-09T07:30:00Z,2,1075.9,lb
2026-01-09T07:30:00Z,3,496.5,kg
2026-01-09T07:30:00Z,4,501.4,kg
2026-01-09T07:30:00Z,7,512.0,kg
2026-01-09T07:30:00Z,9,510.5,kg
2026-01-09T07:30:00Z,10,521.9,kg
2026-01-10T07:30:00Z,1,491.7,kg
2026-01-10T07:30:00Z,2,490.5,kg
2026-01-10T07:30:00Z,3,498.4,kg
2026-01-10T07:30:00Z,4,499.3,kg
2026-01-10T07:30:00Z,5,501.4,kg
2026-01-10T07:30:00Z,7,499.2,kg
2026-01-10T07:30:00Z,9,515.0,kg
2026-01-10T07:30:00Z,10,521.3,kg
2026-01-11T07:30:00Z,2,497.5,kg
2026-01-11T07:30:00Z,3,494.3,kg
2026-01-11T07:30:00Z,4,498.6,kg
2026-01-11T07:30:00Z,5,494.4,kg
2026-01-11T07:30:00Z,6,505.3,kg
2026-01-11T07:30:00Z,7,508.7,kg
2026-01-11T07:30:00Z,9,507.0,kg
2026-01-11T07:30:00Z,10,525.8,kg
2026-01-12T07:30:00Z,1,475.5,kg
2026-01-12T07:30:00Z,2,486.1,kg
2026-01-12T07:30:00Z,3,500.9,kg
2026-01-12T07:30:00Z,4,495.3,kg
2026-01-12T07:30:00Z,6,508.6,kg
2026-01-12T07:30:00Z,9,511.9,kg
2026-01-12T07:30:00Z,10,516.3,kg
2026-01-13T07:30:00Z,1,479.3,kg
2026-01-13T07:30:00Z,2,484.8,kg
2026-01-13T07:30:00Z,3,493.4,kg
2026-01-13T07:30:00Z,4,491.0,kg
2026-01-13T07:30:00Z,5,497.3,kg
2026-01-13T07:30:00Z,6,507.2,kg
2026-01-13T07:30:00Z,7,509.1,kg
2026-01-13T07:30:00Z,9,503.7,kg
2026-01-13T07:30:00Z,10,513.9,kg
2026-01-14T07:30:00Z,1,481.9,kg
2026-01-14T07:30:00Z,2,490.9,kg
2026-01-14T07:30:00Z,3,484.5,kg
2026-01-14T07:30:00Z,4,502.7,kg
2026-01-14T07:30:00Z,5,496.4,kg
2026-01-14T07:30:00Z,7,518.8,kg
2026-01-14T07:30:00Z,9,509.3,kg
2026-01-14T07:30:00Z,10,514.7,kg
2026-01-15T07:30:00Z,1,479.2,kg
2026-01-15T07:30:00Z,2,476.3,kg
2026-01-15T07:30:00Z,3,486.0,kg
2026-01-15T07:30:00Z,4,490.3,kg
2026-01-15T07:30:00Z,5,498.4,kg
2026-01-15T07:30:00Z,6,503.3,kg
2026-01-15T07:30:00Z,7,505.8,kg
2026-01-15T07:30:00Z,9,518.6,kg
2026-01-15T07:30:00Z,10,524.4,kg
2026-01-16T07:30:00Z,1,495.6,kg
