entry_id,race_no,run_on,horse_id,horse_name,distance_f,going,weight_kg,finish_position,placed
1,1,2026-01-12,4,Dobbin,8,good,60.6,1,1
2,1,2026-01-12,5,Marigold,8,good,59.5,2,1
3,1,2026-01-12,2,Bramble,8,good,59.5,3,1
4,1,2026-01-12,10,Quickthorn,8,Good,52.9,4,0
5,1,2026-01-12,3,Silvermane,8,good,52.8,5,0
6,1,2026-01-12,7,Pennywhistle,8,good,55.3,6,0
7,1,2026-01-12,1,Copperfield,8,good,56.6,7,0
8,2,2026-01-18,5,Marigold,6, soft ,57.2,1,1
9,2,2026-01-18,7,Pennywhistle,6,firm,61.9,2,1
10,2,2026-01-18,2,Bramble,6,firm,60.7,3,1
11,2,2026-01-18,1,Copperfield,6,firm,54.2,4,0
12,2,2026-01-18,10,Quickthorn,6,firm,,5,0
13,3,2026-01-24,10,Quickthorn,10,heavy,56.0,1,1
14,3,2026-01-24,5,Marigold,10,heavy,66.2,2,1
15,3,2026-01-24,3,Silvermane,10,heavy,60.3,3,1
16,3,2026-01-24,9,Hazelnut,10,heavy,"58,4",4,0
17,3,2026-01-24,7,Pennywhistle,10,heavy,58.1,5,0
18,3,2026-01-24,2,Bramble,10,heavy,56.3,6,0
19,4,2026-01-30,9,Hazelnut,10,heavy,60.0,1,1
20,4,2026-02-30,2,Bramble,10,heavy,59.3,2,1
21,4,2026-01-30,3,Silvermane,10,heavy,57.6,3,1
22,4,2026-01-30,6,Thistledown,10,heavy,57.0,4,0
23,5,2026-02-05,2,Bramble,14,soft,61.8,1,1
24,5,2026-02-05,3,Silvermane,10f,soft,60.9,2,1
25,5,2026-02-05,6,Thistledown,14,soft,59.6,3,1
26,5,2026-02-05,1,Copperfield,14,soft,52.1,4,0
27,5,2026-02-05,4,Dobbin,14,soft,56.1,5,0
28,5,2026-02-05,5,Marigold,14,soft,580.0,6,0
29,5,2026-02-05,7,Pennywhistle,14,soft,52.6,7,0
30,6,2026-02-11,2,Bramble,8,heavy,55.5,1,1
31,6,2026-02-11,5,Marigold,8,heavy,59.4,2,1
32,6,2026-02-11,10,copperfield,8,heavy,51.2,3,1
33,6,2026-02-11,7,Pennywhistle,8,heavy,55.0,4,0
34,6,2026-02-11,1,Copperfield,8,heavy,56.7,5,0
35,6,2026-02-11,4,Dobbin,8,heavy,54.6,6,0
36,7,2026-02-17,10,Quickthorn,12,firm,58.0,,1
37,7,2026-02-17,6,Thistledown,12,firm,58.8,2,1
38,7,2026-02-17,9,Hazelnut,12,firm,59.1,3,1
39,7,2026-02-17,4,Dobbin,12,firm,57.6,4,0
40,7,2026-02-17,1,Copperfield,12,firm,58.5,5,0
41,7,2026-02-17,7,Pennywhistle,12,firm,60.9,6,0
42,7,2026-02-17,2,Bramble,12,firm,55.1,7,0
43,8,2026-02-23,5,Marigold,6,soft,56.7,1,1
44,8,2026-02-23,9,Hazelnut,6,soft,54.6,2,1
45,8,2026-02-23,4,Dobbin,6,soft,60.1,3,1
46,8,2026-02-23,7,Pennywhistle,6,soft,65.1,4,0
47,8,2026-02-23,6,Thistledown,6,soft,55.0,5,0
48,8,2026-02-23,1,Copperfield,6,soft,61.5,6,0
49,9,2026-03-01,2,Bramble,5,soft,58.9,1,1
50,9,2026-03-01,5,Marigold,5,soft,63.4,2,1
51,9,2026-03-01,3,Silvermane,5,soft,63.8,3,1
52,9,2026-03-01,6,Thistledown,5,soft,57.4,4,0
53,10,2026-03-07,3,Silvermane,16,good,55.3,1,1
54,10,2026-03-07,6,Thistledown,16,good,59.2,2,1
55,10,2026-03-07,10,Quickthorn,16,good,57.8,3,1
56,10,2026-03-07,4,Dobbin,16,good,60.7,4,0
57,10,2026-03-07,5,Marigold,16,good,60.0,5,0
58,10,2026-03-07,1,Copperfield,16,good,56.2,6,0
59,10,2026-03-07,9,Hazelnut,16,good,60.9,7,0
60,11,2026-03-13,1,Copperfield,12,firm,57.5,1,1
61,11,2026-03-13,2,Bramble,12,firm,52.1,2,1
62,11,2026-03-13,6,Thistledown,12,firm,62.2,3,1
63,11,2026-03-13,3,Silvermane,12,firm,57.7,4,0
64,11,2026-03-13,4,Dobbin,12,firm,56.2,5,0
65,11,2026-03-13,10,Quickthorn,12,firm,59.2,6,0
66,11,2026-03-13,7,Pennywhistle,12,firm,59.2,7,0
67,12,2026-03-19,3,Silvermane,10,good,63.7,1,1
68,12,2026-03-19,4,Dobbin,10,good,60.0,2,1
69,12,2026-03-19,6,Thistledown,10,good,58.4,3,1
70,12,2026-03-19,5,Marigold,10,good,52.9,4,0
71,12,2026-03-19,7,Pennywhistle,10,good,58.0,5,0
72,12,2026-03-19,1,Copperfield,10,good,56.3,6,0
73,12,2026-03-19,2,Bramble,10,good,61.3,7,0
74,13,2026-03-25,5,Marigold,16,good,59.2,1,1
75,13,2026-03-25,9,Hazelnut,16,good,59.3,2,1
76,13,2026-03-25,6,Thistledown,16,good,51.9,3,1
77,13,2026-03-25,10,Quickthorn,16,good,57.6,4,0
78,14,2026-03-31,3,Silvermane,16,good,54.6,1,1
79,14,2026-03-31,10,Quickthorn,16,good,57.3,2,1
80,14,2026-03-31,4,Dobbin,16,good,59.0,3,1
81,14,2026-03-31,2,Bramble,16,good,51.9,4,0
82,15,2026-04-06,10,Quickthorn,5,good,65.2,1,1
83,15,2026-04-06,7,Pennywhistle,5,good,56.4,2,1
84,15,2026-04-06,5,Marigold,5,good,56.8,3,1
85,15,2026-04-06,9,Hazelnut,5,good,57.4,4,0
86,15,2026-04-06,1,Copperfield,5,good,61.5,5,0
87,16,2026-04-12,9,Hazelnut,16,heavy,59.2,1,1
88,16,2026-04-12,4,Dobbin,16,heavy,55.5,2,1
89,16,2026-04-12,10,Quickthorn,16,heavy,53.4,3,1
90,16,2026-04-12,5,Marigold,16,heavy,59.4,4,0
91,16,2026-04-12,2,Bramble,16,heavy,57.0,5,0
92,17,2026-04-18,5,Marigold,14,soft,60.7,1,1
93,17,2026-04-18,3,Silvermane,14,soft,55.3,2,1
94,17,2026-04-18,1,Copperfield,14,soft,57.7,3,1
95,17,2026-04-18,2,Bramble,14,soft,58.9,4,0
96,17,2026-04-18,4,Dobbin,14,soft,60.5,5,0
97,18,2026-04-24,4,Dobbin,14,soft,66.0,1,1
98,18,2026-04-24,10,Quickthorn,14,soft,61.4,2,1
99,18,2026-04-24,6,Thistledown,14,soft,59.9,3,1
100,18,2026-04-24,9,Hazelnut,14,soft,50.2,4,0
101,19,2026-04-30,2,Bramble,5,firm,54.5,1,1
102,19,2026-04-30,7,Pennywhistle,5,firm,57.7,2,1
103,19,2026-04-30,1,Copperfield,5,firm,56.9,3,1
104,19,2026-04-30,3,Silvermane,5,firm,60.1,4,0
